<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;200413;0;1.09315;1.09679;1.08908;1.09194
EURUSD;D;200414;0;1.09194;1.09908;1.0913;1.0982
EURUSD;D;200415;0;1.09827;1.09873;1.0855;1.09037
EURUSD;D;200416;0;1.09037;1.09073;1.0815;1.0857
EURUSD;D;200417;0;1.08584;1.08927;1.081;1.08735
EURUSD;D;200419;0;1.0848;1.0878;1.0848;1.08633
EURUSD;D;200420;0;1.08632;1.08969;1.08396;1.08636
EURUSD;D;200421;0;1.08623;1.08803;1.08148;1.08553
EURUSD;D;200422;0;1.08562;1.08853;1.08016;1.08063
EURUSD;D;200423;0;1.0805;1.08468;1.07539;1.07735
EURUSD;D;200424;0;1.07738;1.08296;1.0725;1.08242
EURUSD;D;200426;0;1.0822;1.08242;1.0807;1.082
EURUSD;D;200427;0;1.08193;0.9;1.081;1.08241
EURUSD;D;200428;0;1.08244;;1.08075;1.08314
EURUSD;D;200429;0;1.08325;;1.08289;1.08758
EURUSD;D;200430;0;1.08773;;1.08314;1.09439
EURUSD;D;200501;0;1.09448;;1.0933;1.09798
EURUSD;D;200503;0;1.0978;;1.0952;1.31
EURUSD;D;200504;0;1.09608;;1.0894;1.09023
EURUSD;D;200505;0;1.09031;;1.08238;1.08383
EURUSD;D;200506;0;1.08387;;1.078;1.07978
EURUSD;D;200507;0;1.07971;;1.0764;1.08348
EURUSD;D;200508;0;1.08351;;1.08136;1.08379
EURUSD;D;200510;0;1.0839;;1.08205;1.08376
EURUSD;D;200511;0;1.08376;;1.0799;1.08081
EURUSD;D;200512;0;1.08094;;1.07827;1.08453
EURUSD;D;200513;0;1.08452;;1.081;1.08207
EURUSD;D;200514;0;1.08211;;1.0773;1.32
EURUSD;D;200515;0;1.08049;1.08512;1.07875;1.08179
EURUSD;D;200517;0;1.0838;1.0838;1.0806;1.08185
